overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
3.0,,True,"08 26, 2013",A2ZVB7VWCR7NZC,B00CRQ47WC,,Michael,Not much to really say about this other than it was a gift card for my dad on Fathers Day,gift card,1377475200,
5.0,,True,"09 14, 2016",A1HGHX5WY3TZI0,B01G44QKQI,,John,Ok,Five Stars,1473811200,
5.0,,True,"10 17, 2017",A3GKHR97RTKO49,B00AR51Y5I,,Jucy,Good,Five Stars,1508198400,
5.0,,True,"01 18, 2013",A274I7QL4K9LJ1,B0062ONLI6,,Louis H. Goetz Sr.,The gift card was printed on line and we found the process easy to use.  Have to wait and see how easy it was to redeem,As requested,1358467200,
5.0,,True,"05 26, 2014",A2BWP68V8GPLZA,B004KNWX6C,,Terese Bedard,I very much like the print-at-home Amazon gift cards.  They make shopping easy to do at the last minute but enable one to still give a great gift.,Gift Cards - easy and convenient,1401062400,
5.0,,True,"01 26, 2016",AKU1WSGF91K64,B004Q7CK9M,{'Gift Amount:': ' 15'},Pepper,"I bought this as a Christmas gift because I'm unable to go to the store, and it makes a perfect gift for those who already have everything. After reading others reviews I knew the note wasn't printed on the card. The inside of the card is blank so you can write whatever message you choose. So, I had it shipped to my house and wrote a heart felt thanks to my friend who has helped me so much this year.

I choose the Madonna and Child greeting card, which was perfect since I bought it for my Catholic friend. The card was beautiful. I appreciate the wide variety of cards Amazon carries; you are able to find one for every occasion.",The Best Gift Inside the Perfect Card,1453766400,
5.0,,True,"05 21, 2018",A379S873D06FG,B01H5PPJT4,,CriticallyBoard,Excellent and timely manner.,Five Stars,1526860800,
5.0,,True,"10 4, 2014",A2T5MPRN6Y1L39,B007V6ETXA,,Leonardo,EXCELENT,Five Stars,1412380800,
2.0,,True,"01 27, 2017",A2TYZA9PL1OBTP,B0091JL3OI,{'Gift Amount:': ' 0'},Wisconsins1&amp;Only,"Well, I ordered 3 of these all at different values. Christmas gifts. Perfect, right?

None were labeled with their value. Required a call to the Amazon to figure out which was which.

Cool box.",How Much?,1485475200,
5.0,,True,"11 24, 2014",A26CL3XVUSMEMK,B00H5BMH44,,kim hee yeon,Good~!^^,Five Stars,1416787200,
5.0,,True,"12 5, 2017",A3BTZ27R4XTL19,B0091JKVU0,{'Gift Amount:': ' 0'},Bertha Kidd,Great presentation for a gift card for Christmas gift.,Five Stars,1512432000,
5.0,,True,"11 23, 2015",AE7M8474F1PK8,B007V6ETDK,,Alan Jiang,"good,very good.","good, very good",1448236800,
5.0,,True,"02 21, 2017",AGHU36CVDQYGY,B01FERR9FW,{'Gift Amount:': ' 250'},HUIYU LI,It is very cute bear. My kids love it so much.,Cutie bear,1487635200,['https://images-na.ssl-images-amazon.com/images/I/71niIPQywmL._SY88.jpg']
5.0,,True,"01 29, 2017",AIG53VKYRF5JQ,B01B25L7US,{'Gift Amount:': ' 25'},Amazon Customer,Chic and feminine,Five Stars,1485648000,
5.0,,True,"11 3, 2016",A33Z6K7C29BGY8,B004Q7CK9M,,Amazon Customer,"was a gift, very happy....",gift,1478131200,
1.0,4,True,"08 7, 2015",A2BBCQ57GYYWDW,B00KV30IHG,,Anthony,It arrived with the the code already redeemed,One Star,1438905600,
1.0,,True,"01 24, 2017",A3MSIRKL90HTNZ,B014S24DAI,{'Gift Amount:': ' 25'},alexaroth,"Never received this! They told me it was ""lost"".
I would not recommend buying a gift card online. People take things. Go to the store to get your gift cards!",I would not recommend buying a gift card online,1485216000,
4.0,,True,"01 3, 2014",AVSGSZP640AB1,B00G4IWEZG,,Kindle Customer,"Gift cards

It was very easy to purchase. I am 89 years old so it is nice to buy things from my kindle fire.
The cards were very nice.",Gift cards,1388707200,
3.0,,True,"10 28, 2016",A9O6Z6EFX15FT,B00MV9LXKE,,Meledy@RI,Gave this as a gift. The recipient was happy until he used it. Apparently Bass Pro doesn't apply their reward program points when you're purchasing with gift cards (which makes no sense). The person appreciated the gift but asked me not to order this particular card again.,Disappointed ,1477612800,
5.0,,True,"07 13, 2018",A134CJ3TBWW3CE,B00YD567IW,,Ryan W.,"Quick email, no issues with code.",Fast Delivery,1531440000,
5.0,,True,"12 14, 2016",A3HDVBXSHRJKLC,B01G44QKQI,,Tom Fischer,great job,Five Stars,1481673600,
