overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
1.0,4,False,"01 21, 2015",AP36MGWFVXAJG,B00MV9FCFQ,,Lois Kilmister,This has failed me 3 times to work very unsatisfled with this.,Failure,1421798400,
1.0,,True,"01 31, 2016",A92HIQFVSBZXU,B019GIOH7S,,Martin,i basically got robbed by the lady i gave this too,One Star,1454198400,
1.0,,True,"02 2, 2017",A1SFQQE7YYW4LH,B00MV9P8MS,,Amazon Customer,"This is terrible. I purchased 50$ before Christmas for my mother and when she tried to use it today , it said  it only had 25.98$ on it. Someone had used it according to the cashier. This is horrible and I want our money back. This is stealing!",Bought 50$ but only showed $25.98. You stole my money.,1485993600,
1.0,,True,"01 25, 2018",A2XREU38W4XMI4,B00BXQIGA6,,Betty,This also was a gift card for someone else .,One Star,1516838400,
1.0,,True,"10 25, 2016",A32YOODBMFSDNU,B00PG8502O,,Janet Kay Lee,It was returned to me and not delivered. So no it didn't meet my expectations. No I didn't lose any money but I had to go out and get another one at a store and missed the Anniversary date.,Returned,1477353600,
1.0,3,False,"04 14, 2016",A10J8OMKFCCLQO,B00P9VDRAA,,Kindle Customer,"Beware. When I ordered the site said to allow 5 minutes for processing. When it did not arrive, complained to Amazon. After getting the run around and Amazon trying to blame it on my bank, finally got a supervisor to tell me that Amazon puts a manual process that takes up to four hours on all gift card orders. In my case, the timing was critical to help my daughter with an emergency on the road. Hope Amazon starts disclosing upfront that it may take awhile to process.",Amazon makes delivery take longer than they claim.,1460592000,
1.0,2,True,"02 11, 2018",A2C2W9ONT52I15,B004LLIKVU,{'Gift Amount:': ' 50'},sylvain emeric,The gift card is ok but its a shame we cant offer the eBook directly to people and have to buy a gift card instead,Cannot offer eBook in Australia,1518307200,
1.0,4,False,"06 16, 2018",A27FZR4L5XS45S,B00FFPW48G,,Azizbek Sarimsakov,Do u really think there are so stupid people who would've liked to buy this?,Lmao,1529107200,
1.0,,False,"05 21, 2015",A2MSP3UEKZ6129,B004Q7CK9M,,JelPel,"Amazon did not write a note on a card, so recipient was not aware who sent a gift. Next time, I'll do online gift card, although real card is more personal and more appropriate for many occasions. Disappointed...",Disappointed..,1432166400,
1.0,,True,"04 7, 2015",A2LSULQU7GNQ25,B004KNWWTK,,B. Tibbetts,"Was not easy to use, had to cancel and request refund, wouldn't print",needs work!,1428364800,
1.0,,False,"01 22, 2015",A1IH975DXFTB4T,B00P6TN9T4,,Portia,No,One Star,1421884800,
1.0,2,True,"08 24, 2016",A3UR9S2GWUUFGX,B00FJ4CDGQ,,Amazon Customer,"I did not get the package at all, I got the ps4 but but did not get this even though I bought this as well. basically wasted my hard earned money.",Never got it even though claimed i did,1471996800,
1.0,,False,"12 26, 2017",A3JYKK1UPOOEXG,B005DHN6E2,{'Gift Amount:': ' 40'},Joelle Heald,"I bought a gift card of $40.00 for a friend. I included a message.
I inderstand they are computer generated but this is unacceptable and embarrassing.
I thought you would put it through a machine for the message was printed on the card. Amazon takes in enough revenue to buy a machine to have them. Hell, there are home models to do that printing.
I can get your gift cards a ""write"" my message.
You should have a negative star along with your 5 ""positive "" stars.
Picture attached. I can't even send this complaint without marking one of your stars.
So I'm giving a ""one"" because I have to.
Mrs. Heald",Don't order the gift cards with a message.,1514246400,['https://images-na.ssl-images-amazon.com/images/I/61NL5xVgtbL._SY88.jpg']
1.0,3,True,"05 9, 2016",A2LLN8SIJ50SDN,B00P9VF3DE,,jennifer,Code would not work!,One Star,1462752000,
1.0,,False,"04 15, 2015",AXKXGZ9A1DW8B,B00GP6WI44,,Deborah Guy Skriloff,Buyer beware.,One Star,1429056000,
1.0,,True,"01 24, 2015",A3K4JTIU4N92OG,B00PMLDFSQ,,lucinda,The gift card was not received.,One Star,1422057600,
1.0,,True,"03 24, 2014",AE7KU3ORTW596,B004KNWWRC,,Amazon Customer,"I purchase the gift card as a baby shower gift for my co-worker.  Since people don't pitch in till the last minute, I had to wait to make the purchase right before the baby shower event at the office, but I could not print the gift card.  I received a message saying there has been some technical issue and should be resolved.

I had to be creative and draw the card since it needed to be presented to my co-worker and his wife in front of the entire office staff.

I would think twice about purchasing a giftcard from Amazon.

Sang",the purchase was a disaster!,1395619200,
1.0,2,True,"11 28, 2017",A1IJY39S6Q091N,B00MV9MJLQ,,Hoang K.,"I bought 2 gift cards, one $75 and $25 but they (Pacsun) DID NOT let me use those to pay immediately. And now, after 24hrs, I still cannot buy anything on this site. Everytime I click PLACE MY ORDER button, the site all pop up this error msg ""Your order could not be submitted. Please review your payment settings and try again. Thank you for your patience!"". As a result, I missed the items that I really love because they're out of stock now. I have submitted request about this issue, but Pacsun keeps making me wait for day to get a response. I want my refund !",I want my refund !,1511827200,
1.0,3,True,"12 15, 2015",A2I76D9C2S0B7T,B00MXD9CQA,,david farewell,it has been two weeks and no gift card yet. It was a deal of the day.,One Star,1450137600,
1.0,,True,"01 25, 2018",A1K8U31DK7AK7W,B00PG8502O,,Happymetoo,"Card has no funds on it, my son went to pay for his things and he could not.",Activated then deactivated by Amazon,1516838400,
